Town,Average_House_Price,Crime_Rate
Drumshambo,100250,1.06
Dublin Airport,#N/A,#N/A
Duleek,209855,0.56
Dun Fionnachaid,#N/A,0.81
Dun Laoghaire,492175,1.41
Dunboyne,390828,0.59
Duncannon,168099,4.38
Dundalk,161122,3.68
Dundrum,479273,1.61
Dungarvan,174720,1.25
Dunlavin,298543,0.90
Dunleer,208524,0.73
Dunmanway,148186,0.94
Dunmore,92969,1.12
Dunmore East,220748,0.74
Dunshaughlin,307854,0.70
Durrow,186928,0.80
Durrus,242643,0.30
Edenderry,121736,0.66
Edgeworthstown,81420,1.39
Elphin,87100,0.58
Emly,79018,0.53
Emyvale,124783,1.13
Enfield,253314,0.68
Ennis,148834,1.16
Enniscorthy,138709,0.97
Enniscrone,102009,1.15
Enniskerry,615735,0.78
Ennistymon,91812,1.58
Eyrecourt,87139,0.93
Falcarragh,106793,0.76
Farranfore,171000,1.21
Ferbane,98660,1.04
Fermoy,160453,0.96
Ferns,180620,0.93
Ferrybank,147086,3.69
Fethard,142824,1.88
Finglas,209455,1.85
Fitzgibbon Street,#N/A,#N/A
Foxford,123799,0.84
Foynes,146375,2.03
Frenchpark,68220,0.91
Freshford,274413,0.42
Gaillimh,275000,0.83
Garristown,370656,0.58
Glanmire,283221,0.65
Glantane,169625,0.54
Glasson,229819,0.73
Glenamaddy,122695,0.48
Glenamoy,25000,2.11
Glenbeigh,172381,0.85
Glengarriff,236450,0.37
Glenmore,122891,1.56
Glenties,125410,1.04
Glin,166116,0.43
Glynn,164482,1.32
Golden,194870,0.43
Goresbridge,150760,1.96
Gorey,183378,0.99
Gort,131711,1.08
Graiguenamanagh,137669,0.74
Granard,86698,1.85
Grange,235542,1.18
Greystones,435985,1.64
Gurranabraher,195310,4.45
Gurteen,96949,1.66
Hackballscross,228083,#N/A
Hacketstown,92238,0.57
Headford,162464,0.56
Henry Street,98714,#N/A
Holycross,147979,0.43
Hospital Co Limerick,#N/A,#N/A
Howth,744003,1.41
Indreabhan,168057,#N/A
Innishannon,309616,0.31
Irishtown,246417,#N/A
Kanturk,122884,1.65
Keadue,81401,0.63
Kealkil,148750,0.50
Keel,111625,#N/A
Kells,164307,1.12
Kenagh,88533,0.56
Kenmare,192943,0.71
Kerrykeel,114108,2.25
Kevin Street,215000,#N/A
Kilbeggan,144600,0.95
Kilbrittain,490011,0.45
Kilcock,268817,0.63
Kilconnell,89625,0.89
Kilcormac,115684,0.62
Kilcullen,232819,1.10
Kildare,232745,0.78
Kildorrery,149084,0.90
Kildysart,91150,0.38
Kilkee,136361,3.54
Kilkelly,117033,0.62
Kilkenny,191701,1.25
Kill Co Waterford,180614,#N/A
Killala,85550,0.61
Killaloe,200698,1.94
Killarney,212175,0.95
Killeagh,188913,3.04
Killenaule,212463,1.25
Killeshandra,110758,0.36
Killimor,93192,1.53
Killorglin,169062,0.51
Killucan,175575,0.58
Killybegs,122194,1.25
Kilmacow,188207,0.73
Kilmacrennan,182749,0.66
Kilmacthomas,141458,0.84
Kilmaine,96954,0.25
Kilmainham,330102,47.28
Kilmallock,115405,2.07
Kilmeaden,208091,0.50
Kilmoganny,91000,0.43
Kilmore Quay,180917,0.67
Kilnaleck,125400,1.17
Kilrickle,165000,1.41
Kilronan,81667,0.78
Kilrush,95068,6.52
Kilsheelan,136610,0.65
Kiltimagh,69289,0.84
Kiltormer,79667,0.39
Kilworth,179625,0.30
Kingscourt,146438,0.55
Kinlough,86202,0.87
Kinnegad,179702,0.93
Kinnitty,159007,0.83
Kinsale,355902,0.90
Kinvara,219506,0.35
Knock,89504,2.39
Knocknagoshel,99697,1.35
Lanesboro,84306,#N/A
Laytown,209959,0.83
Leach Seoirse,#N/A,#N/A
Leamybrien,126100,4.11
Leitir Mor,153976,0.35
Leixlip,321443,0.56
Letterfrack,152844,#N/A
Letterkenny,116085,2.01
Lifford,97868,0.99
Liscarroll,136225,0.62
Lisdoonvarna,101154,0.91
Lismore,191465,0.55
Lissycasey,150021,1.01
Listowel,117078,1.32
Littleton,75867,0.80
Lixnaw,121472,0.57
Longford,90597,1.37
Longwood,237061,0.59
Lorrha,155944,0.60
Loughrea,129253,9.18
Louisburgh,173421,0.53
Louth,201633,0.60
Lucan,315542,0.46
Lusk,279695,0.80
Macroom,155838,1.12
Maigh Cuilinn,229000,0.33
Malahide,558451,1.16
Mallow,152665,0.83
Manorhamilton,88866,1.09
Mayfield,204717,3.15
Maynooth,320839,0.65
Mayorstone Park,250000,#N/A
Midleton,201953,0.67
Milford,145465,2.10
Milford Co Cork,187417,0.52
Millstreet Co. Cork,96556,1.07
Milltown,367707,0.87
Miltown Malbay,131648,0.85
Mitchelstown,161458,0.78
Moate,151339,0.58
Mohill,85069,1.78
Monaghan,149198,1.59
Monasterevin,170264,0.62
Moneygall,383747,0.20
Monivea,202514,0.45
Mooncoin,168217,0.68
Mountbellew,157261,0.56
Mountcharles,119959,1.03
Mountjoy,299400,#N/A
Mountmellick,113279,0.93
Mountrath,120466,0.92
Moville,94711,0.68
Moylough,186662,#N/A
Moyne,124345,0.79
Muff,142931,0.98
Muine Bheag,108125,1.13
Mullagh,145065,4.26
Mullinahone,202887,0.60
Mullinavat,148435,2.39
Mullingar,162483,1.20
Multyfarnham,199578,1.07
Murroe,155314,0.18
Myshall,198292,0.71
Naas,290533,1.24
Navan,204307,0.69
Nenagh,135443,0.83
New Ross,117938,1.10
Newbridge,263832,0.69
Newcastle West,126271,1.03
Newmarket,104272,0.77
Newmarket on Fergus,184023,0.56
Newport,149620,0.53
Newport Co Mayo,48500,0.38
Newtowncunningham,115841,1.50
Newtownmountkennedy,259305,1.14
Nobber,108933,1.71
Oldcastle,118135,0.78
Omeath,155356,2.25
Oola,158962,0.30
Oughterard,191268,1.19
Oulart,174963,4.40
Oylegate,143819,2.22
Pallasgreen,173005,1.46
Pallaskenry,154683,0.91
Partry,101667,0.90
Passage East,177876,0.65
Passage West,189786,0.38
Patrickswell,197420,1.27
Pearse Street,219000,#N/A
Pettigo,51833,0.48
Piltown,142278,0.46
Portarlington,156115,0.64
Portlaoise,147764,1.05
Portlaw,106626,0.61
Portmagee,129521,0.70
Portroe,122880,0.82
Portumna,143396,0.60
Raheny,433126,1.75
Ramelton,142387,0.60
Raphoe,113922,1.27
Rathangan,218677,0.79
Rathcoole,304578,1.51
Rathcormac Co Cork,198395,0.52
Rathdowney,330423,0.99
Rathdrum,253095,1.09
Rathfarnham,493191,7.51
Rathgormack,121688,1.55
Rathkeale,139661,1.64
Rathmines,726585,0.69
Rathmore,133238,0.56
Rathmullen,188923,0.43
Rathvilly,151650,0.70
Recess,139833,#N/A
Rhode,151483,#N/A
Riverstown,163296,0.15
Robertstown,219258,1.29
Rochfortbridge,152846,0.97
Rockcorry,73250,0.29
Ronanstown,255000,#N/A
Roosky,81853,1.14
Ros Muc,72500,0.33
Roscommon,117397,0.99
Roscrea,109965,0.69
Rosscarbery,198774,0.77
Rosses Point,318609,0.45
Rosslare Harbour,123655,1.18
Rosslare Strand,187912,0.66
Roundwood,412150,3.99
Roxboro Road,88250,28.06
Salthill,311046,3.18
Santry,357771,#N/A
Scariff,160646,1.01
Schull,237183,0.80
Scotstown,131575,0.60
Shankill,450891,18.96
Shannon,104054,3.19
Shercock,108624,0.51
Shevry,93542,0.12
Shillelagh,139979,1.21
Shinrone,118785,0.59
Shrule,182176,0.93
Sixmilebridge,167355,0.68
Skerries,356879,0.57
Skibbereen,175659,0.84
Skreen,71111,0.14
Slane,198408,1.11
Sligo,127672,1.59
Smear,75000,#N/A
Sneem,175925,0.43
Stoneyford,205726,0.66
Store Street,100000,#N/A
Stradbally Co Laois,174661,2.43
Strokestown,90544,0.66
Stuake,185000,0.79
Summerhill,264845,0.98
Sundrive Road,310000,#N/A
Swanlinbar,124286,0.64
Swinford,93270,0.80
Swords,294217,0.89
Taghmon,122522,3.76
Tallaght,321389,1.07
Tallow,114031,0.42
Tarbert,101784,0.73
Tarelton,207333,0.72
Taughmaconnell,152625,0.44
Templederry,92667,0.54
Templemore,131371,1.44
Templetuohy,71333,0.38
Terenure,574830,2.38
Thomastown,212784,2.07
Thurles,123827,1.34
